Name,Make,Model,Odometer,Body_type,Transmission,Auctioneer,Link_to_auction,Unique_identifers,Hours_to_auction,State,Build_Date,Fuel
LDV V80 LOW ROOF SHORT WHEEL FWD,LDV,V80,"48,038",VAN,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2968331/2019-ldv-v80-low-roof-short-wheel?filterid=2442542442,"2019 LDV V80 LOW ROOF SHORT WHEEL FWD LDV 48,038",11,NSW,2019,DIESEL
NISSAN PATROL TI-L Y62 4WD,NISSAN,PATROL,"161,757",WAGON,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2984327/2013-nissan-patrol-ti-l-y62?filterid=2442542442,"2013 NISSAN PATROL TI-L Y62 4WD NISSAN 161,757",11,NSW,2013,PETROL
MG ZS ESSENCE AZS1 MY19 FWD,MG,ZS,"157,713",WAGON,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2985753/2020-mg-zs-essence-azs1-my19?filterid=2442542442,"2020 MG ZS ESSENCE AZS1 MY19 FWD MG 157,713",11,NSW,2020,PETROL
MERCEDES-BENZ A-CLASS A250 SPORT W176 FWD,MERCEDES-BENZ,A-CLASS,"143,057",HATCHBACK,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2986059/2015-mercedes-benz-a-class-a250-sport-w176?filterid=2442542442,"2015 MERCEDES-BENZ A-CLASS A250 SPORT W176 FWD MERCEDES-BENZ 143,057",11,NSW,2015,PETROL
MAZDA CX-3 NEO DK2W7A FWD,MAZDA,CX-3,"111,377",WAGON,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2984190/2016-mazda-cx-3-neo-dk2w7a?filterid=2442542442,"2016 MAZDA CX-3 NEO DK2W7A FWD MAZDA 111,377",11,NSW,2016,PETROL
FORD RANGER WILDTRAK DUAL CAB PX MKIII MY19 4WD,FORD,RANGER,"93,177",UTILITY,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2984387/2019-ford-ranger-wildtrak-dual-cab-px-mkiii-my19?filterid=2442542442,"2019 FORD RANGER WILDTRAK DUAL CAB PX MKIII MY19 4WD FORD 93,177",11,NSW,2019,DIESEL
LAND ROVER RANGE ROVER EVOQUE TD4 150 SE L538 MY16.5 4WD,LAND,ROVER,"144,804",WAGON,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2984262/2016-land-rover-range-rover-evoque-td4-150-se-l538-my16-5?filterid=2442542442,"2016 LAND ROVER RANGE ROVER EVOQUE TD4 150 SE L538 MY16.5 4WD LAND 144,804",11,NSW,2016,DIESEL
AUDI Q3 TFSI 8U MY14 FWD,AUDI,Q3,"123,646",WAGON,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2985511/2014-audi-q3-tfsi-8u-my14?filterid=2442542442,"2014 AUDI Q3 TFSI 8U MY14 FWD AUDI 123,646",11,NSW,2014,PETROL
MAZDA BT-50 XT HI-RIDER DUAL CAB UR0YG1 RWD,MAZDA,BT-50,"97,644",UTILITY,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2970165/2018-mazda-bt-50-xt-hi-rider-dual-cab-ur0yg1?filterid=2442542442,"2018 MAZDA BT-50 XT HI-RIDER DUAL CAB UR0YG1 RWD MAZDA 97,644",11,NSW,2018,DIESEL
NISSAN NAVARA DX SINGLE CAB D23 RWD PETROL,NISSAN,NAVARA,"167,147",CHASSIS,MANUAL,Carlins,https://www.carlins.com.au/auctions/catalogues/2984202/2016-nissan-navara-dx-single-cab-d23?filterid=2442542442,"2016 NISSAN NAVARA DX SINGLE CAB D23 RWD PETROL NISSAN 167,147",11,NSW,2016,PETROL
AUDI Q7 TDI 4L MY14 4WD,AUDI,Q7,"93,068",WAGON,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2986023/2014-audi-q7-tdi-4l-my14?filterid=2442542442,"2014 AUDI Q7 TDI 4L MY14 4WD AUDI 93,068",11,NSW,2014,DIESEL
NISSAN X-TRAIL ST T32 SERIES II FWD,NISSAN,X-TRAIL,"83,636",WAGON,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2983834/2019-nissan-x-trail-st-t32-series-ii?filterid=2442542442,"2019 NISSAN X-TRAIL ST T32 SERIES II FWD NISSAN 83,636",11,NSW,2019,PETROL
LAND ROVER DISCOVERY SD4 SE SERIES 5 L462 MY17 4WD,LAND,ROVER,"103,024",WAGON,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2980257/2017-land-rover-discovery-sd4-se-series-5-l462-my17?filterid=2442542442,"2017 LAND ROVER DISCOVERY SD4 SE SERIES 5 L462 MY17 4WD LAND 103,024",11,NSW,2017,DIESEL
MITSUBISHI ASX LS XD MY21 FWD,MITSUBISHI,ASX,"63,944",WAGON,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2987460/2021-mitsubishi-asx-ls-xd-my21?filterid=2442542442,"2021 MITSUBISHI ASX LS XD MY21 FWD MITSUBISHI 63,944",11,NSW,2021,PETROL
AUDI Q2 35 TFSI DESIGN GA MY20 FWD,AUDI,Q2,"86,462",WAGON,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2986002/2020-audi-q2-35-tfsi-design-ga-my20?filterid=2442542442,"2020 AUDI Q2 35 TFSI DESIGN GA MY20 FWD AUDI 86,462",11,NSW,2020,PETROL
MAZDA 3 G20 EVOLVE BP2H7A FWD,MAZDA,3,"98,746",HATCHBACK,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2985279/2019-mazda-3-g20-evolve-bp2h7a?filterid=2442542442,"2019 MAZDA 3 G20 EVOLVE BP2H7A FWD MAZDA 98,746",11,NSW,2019,PETROL
LEXUS IS IS350 F SPORT GSE31R RWD,LEXUS,IS,"125,024",SEDAN,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2987468/2015-lexus-is-is350-f-sport-gse31r?filterid=2442542442,"2015 LEXUS IS IS350 F SPORT GSE31R RWD LEXUS 125,024",11,NSW,2015,PETROL
JEEP WRANGLER UNLIMITED RUBICON JK MY16,JEEP,WRANGLER,"73,756",PETROL,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2985712/2016-jeep-wrangler-unlimited-rubicon-jk-my16?filterid=2442542442,"2016 JEEP WRANGLER UNLIMITED RUBICON JK MY16 JEEP 73,756",11,NSW,2016,PETROL
BMW 2 SERIES 220D M SPORT F22 RWD,BMW,2,"85,101",COUPE,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2986656/2016-bmw-2-series-220d-m-sport-f22?filterid=2442542442,"2016 BMW 2 SERIES 220D M SPORT F22 RWD BMW 85,101",11,NSW,2016,DIESEL
SKODA OCTAVIA RS NX MY23 FWD,SKODA,OCTAVIA,"57,222",WAGON,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2985673/2022-skoda-octavia-rs-nx-my23?filterid=2442542442,"2022 SKODA OCTAVIA RS NX MY23 FWD SKODA 57,222",11,NSW,2022,PETROL
AUDI A4 SPORT B9 8W MY17 4WD,AUDI,A4,"78,907",SEDAN,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2985594/2017-audi-a4-sport-b9-8w-my17?filterid=2442542442,"2017 AUDI A4 SPORT B9 8W MY17 4WD AUDI 78,907",11,NSW,2017,PETROL
AUDI S5 8T MY10 4WD,AUDI,S5,"179,788",HATCHBACK,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2987234/2011-audi-s5-8t-my10?filterid=2442542442,"2011 AUDI S5 8T MY10 4WD AUDI 179,788",11,NSW,2011,PETROL
TOYOTA COROLLA ASCENT SPORT HYBRID ZWE211R FWD,TOYOTA,COROLLA,"21,083",HATCHBACK,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2985567/2021-toyota-corolla-ascent-sport-hybrid-zwe211r?filterid=2442542442,"2021 TOYOTA COROLLA ASCENT SPORT HYBRID ZWE211R FWD TOYOTA 21,083",11,NSW,2021,HYBRID
FORD ESCAPE AMBIENTE ZG MY18.75 FWD,FORD,ESCAPE,"79,343",WAGON,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2985226/2018-ford-escape-ambiente-zg-my18-75?filterid=2442542442,"2018 FORD ESCAPE AMBIENTE ZG MY18.75 FWD FORD 79,343",11,NSW,2018,PETROL
TOYOTA KLUGER GXL AXUH78R 4WD,TOYOTA,KLUGER,"132,135",WAGON,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2983764/2021-toyota-kluger-gxl-axuh78r?filterid=2442542442,"2021 TOYOTA KLUGER GXL AXUH78R 4WD TOYOTA 132,135",11,NSW,2021,HYBRID
MITSUBISHI PAJERO SPORT GLS QE MY19 4WD,MITSUBISHI,PAJERO,"80,092",WAGON,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2980906/2019-mitsubishi-pajero-sport-gls-qe-my19?filterid=2442542442,"2019 MITSUBISHI PAJERO SPORT GLS QE MY19 4WD MITSUBISHI 80,092",11,NSW,2019,DIESEL
MAZDA CX-5 AKERA KF4WLA 4WD,MAZDA,CX-5,"97,095",WAGON,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2984366/2017-mazda-cx-5-akera-kf4wla?filterid=2442542442,"2017 MAZDA CX-5 AKERA KF4WLA 4WD MAZDA 97,095",11,NSW,2017,PETROL
NISSAN X-TRAIL ST-L T32 SERIES III MY20 FWD,NISSAN,X-TRAIL,"41,038",WAGON,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2987317/2020-nissan-x-trail-st-l-t32-series-iii-my20?filterid=2442542442,"2020 NISSAN X-TRAIL ST-L T32 SERIES III MY20 FWD NISSAN 41,038",11,NSW,2020,PETROL
MERCEDES-BENZ GLB-CLASS GLB250 X247 4WD,MERCEDES-BENZ,GLB-CLASS,"84,561",WAGON,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2985570/2020-mercedes-benz-glb-class-glb250-x247?filterid=2442542442,"2020 MERCEDES-BENZ GLB-CLASS GLB250 X247 4WD MERCEDES-BENZ 84,561",11,NSW,2020,PETROL
AUDI RS3 8V MY16 4WD,AUDI,RS3,"78,212",HATCHBACK,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2985411/2016-audi-rs3-8v-my16?filterid=2442542442,"2016 AUDI RS3 8V MY16 4WD AUDI 78,212",11,NSW,2016,PETROL
LAND ROVER RANGE ROVER SPORT SDV6 HSE DYNAMIC L494 MY17 4WD,LAND,ROVER,"118,233",WAGON,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2974363/2017-land-rover-range-rover-sport-sdv6-hse-dynamic-l494-my17?filterid=2442542442,"2017 LAND ROVER RANGE ROVER SPORT SDV6 HSE DYNAMIC L494 MY17 4WD LAND 118,233",11,NSW,2017,DIESEL
HYUNDAI STARIA US4.V1 MY22 FWD,HYUNDAI,STARIA,"15,980",WAGON,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2983757/2023-hyundai-staria-us4-v1-my22?filterid=2442542442,"2023 HYUNDAI STARIA US4.V1 MY22 FWD HYUNDAI 15,980",11,NSW,2023,PETROL
SKODA OCTAVIA SPORT 110TSI NE MY20 FWD,SKODA,OCTAVIA,"47,025",LIFTBACK,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2984384/2020-skoda-octavia-sport-110tsi-ne-my20?filterid=2442542442,"2020 SKODA OCTAVIA SPORT 110TSI NE MY20 FWD SKODA 47,025",11,NSW,2020,PETROL
TOYOTA HIACE LONG WHEELBASE GDH300R RWD,TOYOTA,HIACE,"75,272",VAN,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2981852/2021-toyota-hiace-long-wheelbase-gdh300r?filterid=2442542442,"2021 TOYOTA HIACE LONG WHEELBASE GDH300R RWD TOYOTA 75,272",11,NSW,2021,DIESEL
KIA SPORTAGE S NQ5 MY22 FWD,KIA,SPORTAGE,"75,048",WAGON,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2985576/2022-kia-sportage-s-nq5-my22?filterid=2442542442,"2022 KIA SPORTAGE S NQ5 MY22 FWD KIA 75,048",11,NSW,2022,PETROL
LAND ROVER RANGE ROVER EVOQUE SD4 240 HSE DYNAMIC L538 MY18 4WD,LAND,ROVER,"131,990",WAGON,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2985928/2018-land-rover-range-rover-evoque-sd4-240-hse-dynamic-l538-my18?filterid=2442542442,"2018 LAND ROVER RANGE ROVER EVOQUE SD4 240 HSE DYNAMIC L538 MY18 4WD LAND 131,990",11,NSW,2018,DIESEL
RAM 1500 LARAMIE DUAL CAB DS MY18 4WD,RAM,1500,"134,012",UTILITY,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2985270/2018-ram-1500-laramie-dual-cab-ds-my18?filterid=2442542442,"2018 RAM 1500 LARAMIE DUAL CAB DS MY18 4WD RAM 134,012",11,NSW,2018,PETROL
KIA SORENTO GT-LINE MQ4 MY21 4WD,KIA,SORENTO,"73,380",WAGON,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2986212/2021-kia-sorento-gt-line-mq4-my21?filterid=2442542442,"2021 KIA SORENTO GT-LINE MQ4 MY21 4WD KIA 73,380",11,NSW,2021,DIESEL
TOYOTA CAMRY ASCENT AXVA70R FWD,TOYOTA,CAMRY,"36,308",SEDAN,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2958278/2022-toyota-camry-ascent-axva70r?filterid=2442542442,"2022 TOYOTA CAMRY ASCENT AXVA70R FWD TOYOTA 36,308",11,NSW,2022,PETROL
BMW X3 XDRIVE30I M SPORT G01 LCI 4WD,BMW,X3,"85,886",WAGON,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2977636/2022-bmw-x3-xdrive30i-m-sport-g01-lci?filterid=2442542442,"2022 BMW X3 XDRIVE30I M SPORT G01 LCI 4WD BMW 85,886",11,NSW,2022,PETROL
TOYOTA HILUX SR5 EXTENDED CAB GUN126R 4WD,TOYOTA,HILUX,"4,696",UTILITY,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2985296/2024-toyota-hilux-sr5-extended-cab-gun126r?filterid=2442542442,"2024 TOYOTA HILUX SR5 EXTENDED CAB GUN126R 4WD TOYOTA 4,696",11,NSW,2024,DIESEL
LAND ROVER DEFENDER 90 P300 S L663 MY22 4WD,LAND,ROVER,"24,666",WAGON,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2986810/2021-land-rover-defender-90-p300-s-l663-my22?filterid=2442542442,"2021 LAND ROVER DEFENDER 90 P300 S L663 MY22 4WD LAND 24,666",11,NSW,2021,PETROL
KIA RIO SI UB MY13 FWD,KIA,RIO,"69,330",HATCHBACK,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2987265/2013-kia-rio-si-ub-my13?filterid=2442542442,"2013 KIA RIO SI UB MY13 FWD KIA 69,330",11,NSW,2013,PETROL
KIA CERATO S YD MY17 FWD,KIA,CERATO,"136,620",HATCHBACK,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2986913/2017-kia-cerato-s-yd-my17?filterid=2442542442,"2017 KIA CERATO S YD MY17 FWD KIA 136,620",11,NSW,2017,PETROL
SUZUKI S-CROSS GL JY FWD,SUZUKI,S-CROSS,"70,432",HATCHBACK,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2986722/2015-suzuki-s-cross-gl-jy?filterid=2442542442,"2015 SUZUKI S-CROSS GL JY FWD SUZUKI 70,432",11,NSW,2015,PETROL
BMW X5 D STEPTRONIC EXECUTI E70 4WD,BMW,X5,"165,944",WAGON,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2986699/2007-bmw-x5-d-steptronic-executi-e70?filterid=2442542442,"2007 BMW X5 D STEPTRONIC EXECUTI E70 4WD BMW 165,944",11,NSW,2007,DIESEL
SUBARU IMPREZA R SPECIAL EDITION G3 MY11 4WD,SUBARU,IMPREZA,"203,376",HATCHBACK,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2986661/2011-subaru-impreza-r-special-edition-g3-my11?filterid=2442542442,"2011 SUBARU IMPREZA R SPECIAL EDITION G3 MY11 4WD SUBARU 203,376",11,NSW,2011,PETROL
TOYOTA YARIS YRS NCP93R FWD,TOYOTA,YARIS,"98,934",SEDAN,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2986610/2008-toyota-yaris-yrs-ncp93r?filterid=2442542442,"2008 TOYOTA YARIS YRS NCP93R FWD TOYOTA 98,934",11,NSW,2008,PETROL
MITSUBISHI ECLIPSE CROSS LS YA MY18 FWD,MITSUBISHI,ECLIPSE,"198,811",WAGON,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2979538/2018-mitsubishi-eclipse-cross-ls-ya-my18?filterid=2442542442,"2018 MITSUBISHI ECLIPSE CROSS LS YA MY18 FWD MITSUBISHI 198,811",11,NSW,2018,PETROL
FORD ECOSPORT TREND BK FWD,FORD,ECOSPORT,"100,182",WAGON,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2984811/2016-ford-ecosport-trend-bk?filterid=2442542442,"2016 FORD ECOSPORT TREND BK FWD FORD 100,182",11,NSW,2016,PETROL
MAZDA CX-5 GRAND TOURING KE1021 MY14 4WD,MAZDA,CX-5,"176,842",WAGON,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2986911/2014-mazda-cx-5-grand-touring-ke1021-my14?filterid=2442542442,"2014 MAZDA CX-5 GRAND TOURING KE1021 MY14 4WD MAZDA 176,842",11,NSW,2014,DIESEL
SUBARU OUTBACK 2.5I PREMIUM B6A MY15 4WD,SUBARU,OUTBACK,"171,410",WAGON,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2982876/2015-subaru-outback-2-5i-premium-b6a-my15?filterid=2442542442,"2015 SUBARU OUTBACK 2.5I PREMIUM B6A MY15 4WD SUBARU 171,410",11,NSW,2015,PETROL
MAZDA CX-9 LUXURY TB10A5 FWD,MAZDA,CX-9,"148,613",WAGON,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2985280/2013-mazda-cx-9-luxury-tb10a5?filterid=2442542442,"2013 MAZDA CX-9 LUXURY TB10A5 FWD MAZDA 148,613",11,NSW,2013,PETROL
MINI CABRIO COOPER STEPTRONIC R57 LCI FWD,MINI,CABRIO,"96,334",CONVERTIBLE,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2983206/2012-mini-cabrio-cooper-steptronic-r57-lci?filterid=2442542442,"2012 MINI CABRIO COOPER STEPTRONIC R57 LCI FWD MINI 96,334",11,NSW,2012,PETROL
HONDA CR-V VTI-L 4WD RM MY15 4WD,HONDA,CR-V,"181,852",WAGON,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2985509/2014-honda-cr-v-vti-l-4wd-rm-my15?filterid=2442542442,"2014 HONDA CR-V VTI-L 4WD RM MY15 4WD HONDA 181,852",11,NSW,2014,PETROL
MAZDA BT-50 GT DUAL CAB UP0YF1 4WD,MAZDA,BT-50,"329,002",UTILITY,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2983602/2014-mazda-bt-50-gt-dual-cab-up0yf1?filterid=2442542442,"2014 MAZDA BT-50 GT DUAL CAB UP0YF1 4WD MAZDA 329,002",11,NSW,2014,DIESEL
LEXUS RX RX350 SPORTS LUXURY GSU35R 4WD,LEXUS,RX,"227,231",WAGON,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2986629/2006-lexus-rx-rx350-sports-luxury-gsu35r?filterid=2442542442,"2006 LEXUS RX RX350 SPORTS LUXURY GSU35R 4WD LEXUS 227,231",11,NSW,2006,PETROL
VOLKSWAGEN GOLF 92TSI COMFORTLINE VII MY16 FWD,VOLKSWAGEN,GOLF,"183,986",HATCHBACK,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2987281/2016-volkswagen-golf-92tsi-comfortline-vii-my16?filterid=2442542442,"2016 VOLKSWAGEN GOLF 92TSI COMFORTLINE VII MY16 FWD VOLKSWAGEN 183,986",11,NSW,2016,PETROL
MAZDA CX-5 GRAND TOURING KE1021 MY14 4WD,MAZDA,CX-5,"143,784",WAGON,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2987213/2014-mazda-cx-5-grand-touring-ke1021-my14?filterid=2442542442,"2014 MAZDA CX-5 GRAND TOURING KE1021 MY14 4WD MAZDA 143,784",11,NSW,2014,DIESEL
MITSUBISHI LANCER PLATINUM SPORTBACK CJ MY12 FWD,MITSUBISHI,LANCER,"180,094",HATCHBACK,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2983777/2012-mitsubishi-lancer-platinum-sportback-cj-my12?filterid=2442542442,"2012 MITSUBISHI LANCER PLATINUM SPORTBACK CJ MY12 FWD MITSUBISHI 180,094",11,NSW,2012,PETROL
BMW 1 SERIES 120I E87 RWD,BMW,1,"173,012",HATCHBACK,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2985271/2005-bmw-1-series-120i-e87?filterid=2442542442,"2005 BMW 1 SERIES 120I E87 RWD BMW 173,012",11,NSW,2005,PETROL
RENAULT CLIO EXPRESSION IV B98 FWD,RENAULT,CLIO,"96,600",HATCHBACK,MANUAL,Carlins,https://www.carlins.com.au/auctions/catalogues/2987303/2016-renault-clio-expression-iv-b98?filterid=2442542442,"2016 RENAULT CLIO EXPRESSION IV B98 FWD RENAULT 96,600",11,NSW,2016,PETROL
NISSAN PATHFINDER ST R52 MY16 4WD,NISSAN,PATHFINDER,"194,835",WAGON,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2983740/2016-nissan-pathfinder-st-r52-my16?filterid=2442542442,"2016 NISSAN PATHFINDER ST R52 MY16 4WD NISSAN 194,835",11,NSW,2016,PETROL
TOYOTA AURION SPORTIVO SX6 GSV40R FWD,TOYOTA,AURION,"261,515",SEDAN,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2986877/2007-toyota-aurion-sportivo-sx6-gsv40r?filterid=2442542442,"2007 TOYOTA AURION SPORTIVO SX6 GSV40R FWD TOYOTA 261,515",11,NSW,2007,PETROL
MAZDA CX-9 LUXURY TB10A4 MY12 4WD,MAZDA,CX-9,"153,368",WAGON,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2985290/2012-mazda-cx-9-luxury-tb10a4-my12?filterid=2442542442,"2012 MAZDA CX-9 LUXURY TB10A4 MY12 4WD MAZDA 153,368",11,NSW,2012,PETROL
HOLDEN CAPTIVA ACTIVE CG MY16 FWD,HOLDEN,CAPTIVA,"58,464",WAGON,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2984798/2016-holden-captiva-active-cg-my16?filterid=2442542442,"2016 HOLDEN CAPTIVA ACTIVE CG MY16 FWD HOLDEN 58,464",11,NSW,2016,PETROL
SUBARU IMPREZA RS S MY05 4WD,SUBARU,IMPREZA,"154,032",HATCHBACK,MANUAL,Carlins,https://www.carlins.com.au/auctions/catalogues/2985268/2005-subaru-impreza-rs-s-my05?filterid=2442542442,"2005 SUBARU IMPREZA RS S MY05 4WD SUBARU 154,032",11,NSW,2005,PETROL
TOYOTA COROLLA ASCENT ZRE152R FWD,TOYOTA,COROLLA,"359,055",SEDAN,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2986794/2009-toyota-corolla-ascent-zre152r?filterid=2442542442,"2009 TOYOTA COROLLA ASCENT ZRE152R FWD TOYOTA 359,055",11,NSW,2009,PETROL
HONDA CIVIC VTI 10TH GEN MY17 FWD,HONDA,CIVIC,"76,307",SEDAN,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2986261/2017-honda-civic-vti-10th-gen-my17?filterid=2442542442,"2017 HONDA CIVIC VTI 10TH GEN MY17 FWD HONDA 76,307",11,NSW,2017,PETROL
TOYOTA CAMRY ALTISE ACV40R FWD,TOYOTA,CAMRY,"139,424",SEDAN,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2986456/2007-toyota-camry-altise-acv40r?filterid=2442542442,"2007 TOYOTA CAMRY ALTISE ACV40R FWD TOYOTA 139,424",11,NSW,2007,PETROL
VOLKSWAGEN GOLF GTI VII MY14 FWD,VOLKSWAGEN,GOLF,"183,479",HATCHBACK,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2980403/2013-volkswagen-golf-gti-vii-my14?filterid=2442542442,"2013 VOLKSWAGEN GOLF GTI VII MY14 FWD VOLKSWAGEN 183,479",11,NSW,2013,PETROL
SUBARU FORESTER X S3 MY11 4WD,SUBARU,FORESTER,"183,359",WAGON,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2984312/2011-subaru-forester-x-s3-my11?filterid=2442542442,"2011 SUBARU FORESTER X S3 MY11 4WD SUBARU 183,359",11,NSW,2011,PETROL
BMW X3 XDRIVE20I F25 LCI 4WD,BMW,X3,"164,014",WAGON,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2986636/2016-bmw-x3-xdrive20i-f25-lci?filterid=2442542442,"2016 BMW X3 XDRIVE20I F25 LCI 4WD BMW 164,014",11,NSW,2016,PETROL
CHRYSLER GRAND VOYAGER LIMITED RT 5TH GEN MY10 FWD,CHRYSLER,GRAND,"163,258",WAGON,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2987289/2011-chrysler-grand-voyager-limited-rt-5th-gen-my10?filterid=2442542442,"2011 CHRYSLER GRAND VOYAGER LIMITED RT 5TH GEN MY10 FWD CHRYSLER 163,258",11,NSW,2011,PETROL
MITSUBISHI ASX XLS XB MY15 4WD,MITSUBISHI,ASX,"179,185",WAGON,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2986700/2015-mitsubishi-asx-xls-xb-my15?filterid=2442542442,"2015 MITSUBISHI ASX XLS XB MY15 4WD MITSUBISHI 179,185",11,NSW,2015,DIESEL
PEUGEOT 3008 XTE SUV T8 FWD,PEUGEOT,3008,"166,161",HATCHBACK,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2986892/2011-peugeot-3008-xte-suv-t8?filterid=2442542442,"2011 PEUGEOT 3008 XTE SUV T8 FWD PEUGEOT 166,161",11,NSW,2011,PETROL
SUBARU LIBERTY HERITAGE B4 MY09 4WD,SUBARU,LIBERTY,"167,536",SEDAN,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2985344/2008-subaru-liberty-heritage-b4-my09?filterid=2442542442,"2008 SUBARU LIBERTY HERITAGE B4 MY09 4WD SUBARU 167,536",11,NSW,2008,PETROL
HONDA CIVIC VTI-L 8TH GEN MY07 FWD,HONDA,CIVIC,"177,843",SEDAN,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2986858/2007-honda-civic-vti-l-8th-gen-my07?filterid=2442542442,"2007 HONDA CIVIC VTI-L 8TH GEN MY07 FWD HONDA 177,843",11,NSW,2007,PETROL
