Name,Make,Model,Odometer,Body_type,Transmission,Auctioneer,Link_to_auction,Unique_identifers,Hours_to_auction,State,Build_Date,Fuel
SUBARU XV 2.0I-L G4X MY15 4WD,SUBARU,XV,"212,335",HATCHBACK,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2986615/2015-subaru-xv-2-0i-l-g4x-my15?filterid=2442542442,"2015 SUBARU XV 2.0I-L G4X MY15 4WD SUBARU 212,335",0,QLD,2015,PETROL
LAND ROVER RANGE ROVER EVOQUE TD4 DYNAMIC L538 MY15 4WD,LAND,ROVER,"173,768",WAGON,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2946878/2015-land-rover-range-rover-evoque-td4-dynamic-l538-my15?filterid=2442542442,"2015 LAND ROVER RANGE ROVER EVOQUE TD4 DYNAMIC L538 MY15 4WD LAND 173,768",0,QLD,2015,DIESEL
HOLDEN CALAIS V VF RWD,HOLDEN,CALAIS,"165,388",SEDAN,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2978962/2013-holden-calais-v-vf?filterid=2442542442,"2013 HOLDEN CALAIS V VF RWD HOLDEN 165,388",0,QLD,2013,PETROL
MITSUBISHI ASX LS XB MY15.5 FWD,MITSUBISHI,ASX,"283,880",WAGON,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2980877/2016-mitsubishi-asx-ls-xb-my15-5?filterid=2442542442,"2016 MITSUBISHI ASX LS XB MY15.5 FWD MITSUBISHI 283,880",0,QLD,2016,PETROL
VOLKSWAGEN POLO 81TSI COMFORTLINE 6R MY16 FWD,VOLKSWAGEN,POLO,"240,139",HATCHBACK,MANUAL,Carlins,https://www.carlins.com.au/auctions/catalogues/2978959/2015-volkswagen-polo-81tsi-comfortline-6r-my16?filterid=2442542442,"2015 VOLKSWAGEN POLO 81TSI COMFORTLINE 6R MY16 FWD VOLKSWAGEN 240,139",0,QLD,2015,PETROL
SUBARU LIBERTY 2.5I PREMIUM B6 MY17 4WD,SUBARU,LIBERTY,"162,309",SEDAN,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2981850/2017-subaru-liberty-2-5i-premium-b6-my17?filterid=2442542442,"2017 SUBARU LIBERTY 2.5I PREMIUM B6 MY17 4WD SUBARU 162,309",0,QLD,2017,PETROL
JEEP CHEROKEE LIMITED KK MY11 4WD,JEEP,CHEROKEE,"159,111",WAGON,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2977761/2011-jeep-cherokee-limited-kk-my11?filterid=2442542442,"2011 JEEP CHEROKEE LIMITED KK MY11 4WD JEEP 159,111",0,QLD,2011,PETROL
TOYOTA HILUX SR EXTENDED CAB KUN26R MY14 4WD DIESEL,TOYOTA,HILUX,"325,530",CHASSIS,MANUAL,Carlins,https://www.carlins.com.au/auctions/catalogues/2983855/2014-toyota-hilux-sr-extended-cab-kun26r-my14?filterid=2442542442,"2014 TOYOTA HILUX SR EXTENDED CAB KUN26R MY14 4WD DIESEL TOYOTA 325,530",0,QLD,2014,DIESEL
AUDI A4 B8 8K MY14 4WD,AUDI,A4,"121,172",SEDAN,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2978960/2014-audi-a4-b8-8k-my14?filterid=2442542442,"2014 AUDI A4 B8 8K MY14 4WD AUDI 121,172",0,QLD,2014,PETROL
MAZDA CX-5 GRAND TOURING KE1022 4WD,MAZDA,CX-5,"182,498",WAGON,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2985096/2017-mazda-cx-5-grand-touring-ke1022?filterid=2442542442,"2017 MAZDA CX-5 GRAND TOURING KE1022 4WD MAZDA 182,498",0,QLD,2017,DIESEL
VOLKSWAGEN TIGUAN 132TSI 5N MY12 4WD,VOLKSWAGEN,TIGUAN,"225,529",WAGON,MANUAL,Carlins,https://www.carlins.com.au/auctions/catalogues/2985777/2012-volkswagen-tiguan-132tsi-5n-my12?filterid=2442542442,"2012 VOLKSWAGEN TIGUAN 132TSI 5N MY12 4WD VOLKSWAGEN 225,529",0,QLD,2012,PETROL
BMW 3 SERIES 320D E93 MY13.5 RWD,BMW,3,"193,147",CONVERTIBLE,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2980909/2013-bmw-3-series-320d-e93-my13-5?filterid=2442542442,"2013 BMW 3 SERIES 320D E93 MY13.5 RWD BMW 193,147",0,QLD,2013,DIESEL
MAZDA BT-50 GT DUAL CAB UP0YF1 4WD,MAZDA,BT-50,"193,226",UTILITY,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2977765/2012-mazda-bt-50-gt-dual-cab-up0yf1?filterid=2442542442,"2012 MAZDA BT-50 GT DUAL CAB UP0YF1 4WD MAZDA 193,226",0,QLD,2012,DIESEL
VOLKSWAGEN TIGUAN 132TSI 5N MY15 4WD,VOLKSWAGEN,TIGUAN,"167,494",WAGON,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2976169/2016-volkswagen-tiguan-132tsi-5n-my15?filterid=2442542442,"2016 VOLKSWAGEN TIGUAN 132TSI 5N MY15 4WD VOLKSWAGEN 167,494",0,QLD,2016,PETROL
HYUNDAI IX35 TROPHY LM3 MY14 FWD,HYUNDAI,IX35,"92,772",WAGON,MANUAL,Carlins,https://www.carlins.com.au/auctions/catalogues/2984481/2015-hyundai-ix35-trophy-lm3-my14?filterid=2442542442,"2015 HYUNDAI IX35 TROPHY LM3 MY14 FWD HYUNDAI 92,772",0,QLD,2015,PETROL
MAZDA 2 MAXX DE10Y1 MY10 FWD,MAZDA,2,"141,692",HATCHBACK,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2984933/2011-mazda-2-maxx-de10y1-my10?filterid=2442542442,"2011 MAZDA 2 MAXX DE10Y1 MY10 FWD MAZDA 141,692",0,QLD,2011,PETROL
MERCEDES-BENZ M-CLASS ML500 LUXURY W163 MY02 4WD,MERCEDES-BENZ,M-CLASS,"185,895",WAGON,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2985529/2003-mercedes-benz-m-class-ml500-luxury-w163-my02?filterid=2442542442,"2003 MERCEDES-BENZ M-CLASS ML500 LUXURY W163 MY02 4WD MERCEDES-BENZ 185,895",0,QLD,2003,PETROL
NISSAN NAVARA ST-X DUAL CAB D40 4WD,NISSAN,NAVARA,"246,101",UTILITY,MANUAL,Carlins,https://www.carlins.com.au/auctions/catalogues/2984372/2005-nissan-navara-st-x-dual-cab-d40?filterid=2442542442,"2005 NISSAN NAVARA ST-X DUAL CAB D40 4WD NISSAN 246,101",0,QLD,2005,DIESEL
VOLKSWAGEN TIGUAN 125TSI 5N MY10 4WD,VOLKSWAGEN,TIGUAN,"170,279",WAGON,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2982636/2010-volkswagen-tiguan-125tsi-5n-my10?filterid=2442542442,"2010 VOLKSWAGEN TIGUAN 125TSI 5N MY10 4WD VOLKSWAGEN 170,279",0,QLD,2010,PETROL
BMW X5 XDRIVE30D STEPTRONIC E70 MY09 4WD,BMW,X5,"182,633",WAGON,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2985115/2009-bmw-x5-xdrive30d-steptronic-e70-my09?filterid=2442542442,"2009 BMW X5 XDRIVE30D STEPTRONIC E70 MY09 4WD BMW 182,633",0,QLD,2009,DIESEL
TOYOTA KLUGER GRANDE GSU40R MY12 FWD,TOYOTA,KLUGER,"111,761",WAGON,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2987384/2013-toyota-kluger-grande-gsu40r-my12?filterid=2442542442,"2013 TOYOTA KLUGER GRANDE GSU40R MY12 FWD TOYOTA 111,761",0,QLD,2013,PETROL
NISSAN NAVARA RX EXTENDED CAB D40 4WD DIESEL,NISSAN,NAVARA,"364,674",CHASSIS,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2981513/2009-nissan-navara-rx-extended-cab-d40?filterid=2442542442,"2009 NISSAN NAVARA RX EXTENDED CAB D40 4WD DIESEL NISSAN 364,674",0,QLD,2009,DIESEL
FORD RANGER XL HI-RIDER EXTENDED PX RWD DIESEL,FORD,RANGER,"171,982",CHASSIS,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2987200/2013-ford-ranger-xl-hi-rider-extended-px?filterid=2442542442,"2013 FORD RANGER XL HI-RIDER EXTENDED PX RWD DIESEL FORD 171,982",0,QLD,2013,DIESEL
NISSAN QASHQAI ST-L J11 SERIES 2 FWD,NISSAN,QASHQAI,"316,927",WAGON,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2987389/2018-nissan-qashqai-st-l-j11-series-2?filterid=2442542442,"2018 NISSAN QASHQAI ST-L J11 SERIES 2 FWD NISSAN 316,927",0,QLD,2018,PETROL
HOLDEN CRUZE SRI JH SERIES II MY FWD,HOLDEN,CRUZE,"180,161",SEDAN,MANUAL,Carlins,https://www.carlins.com.au/auctions/catalogues/2987107/2012-holden-cruze-sri-jh-series-ii-my?filterid=2442542442,"2012 HOLDEN CRUZE SRI JH SERIES II MY FWD HOLDEN 180,161",0,QLD,2012,PETROL
VOLKSWAGEN PASSAT 118TSI TYPE 3C MY12.5 FWD,VOLKSWAGEN,PASSAT,"147,589",WAGON,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2984949/2012-volkswagen-passat-118tsi-type-3c-my12-5?filterid=2442542442,"2012 VOLKSWAGEN PASSAT 118TSI TYPE 3C MY12.5 FWD VOLKSWAGEN 147,589",0,QLD,2012,PETROL
JEEP RENEGADE LIMITED BU MY16 FWD,JEEP,RENEGADE,"101,809",HATCHBACK,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2978282/2017-jeep-renegade-limited-bu-my16?filterid=2442542442,"2017 JEEP RENEGADE LIMITED BU MY16 FWD JEEP 101,809",0,QLD,2017,PETROL
ALFA ROMEO MITO MY10 FWD,ALFA,ROMEO,"113,201",HATCHBACK,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2985773/2011-alfa-romeo-mito-my10?filterid=2442542442,"2011 ALFA ROMEO MITO MY10 FWD ALFA 113,201",0,QLD,2011,PETROL
HONDA ODYSSEY 3RD GEN MY07 FWD,HONDA,ODYSSEY,"227,361",WAGON,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2979555/2007-honda-odyssey-3rd-gen-my07?filterid=2442542442,"2007 HONDA ODYSSEY 3RD GEN MY07 FWD HONDA 227,361",0,QLD,2007,PETROL
TOYOTA LANDCRUISER GXL FZJ105R 4WD,TOYOTA,LANDCRUISER,"478,363",WAGON,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2987466/1998-toyota-landcruiser-gxl-fzj105r?filterid=2442542442,"1998 TOYOTA LANDCRUISER GXL FZJ105R 4WD TOYOTA 478,363",0,QLD,1998,PETROL
NISSAN QASHQAI ST J11 SERIES 2 FWD,NISSAN,QASHQAI,"92,338",WAGON,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2985530/2018-nissan-qashqai-st-j11-series-2?filterid=2442542442,"2018 NISSAN QASHQAI ST J11 SERIES 2 FWD NISSAN 92,338",0,QLD,2018,PETROL
VOLKSWAGEN PASSAT 132TSI COMFORTLINE 3C (B8) MY17 FWD,VOLKSWAGEN,PASSAT,"203,921",SEDAN,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2985671/2017-volkswagen-passat-132tsi-comfortline-3c-b8-my17?filterid=2442542442,"2017 VOLKSWAGEN PASSAT 132TSI COMFORTLINE 3C (B8) MY17 FWD VOLKSWAGEN 203,921",0,QLD,2017,PETROL
TOYOTA CAMRY HYBRID AHV40R MY10 FWD,TOYOTA,CAMRY,"231,283",SEDAN,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2985330/2010-toyota-camry-hybrid-ahv40r-my10?filterid=2442542442,"2010 TOYOTA CAMRY HYBRID AHV40R MY10 FWD TOYOTA 231,283",0,QLD,2010,HYBRID
SUBARU XV 2.0I-S G4X MY13 4WD,SUBARU,XV,"265,859",HATCHBACK,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2982620/2013-subaru-xv-2-0i-s-g4x-my13?filterid=2442542442,"2013 SUBARU XV 2.0I-S G4X MY13 4WD SUBARU 265,859",0,QLD,2013,PETROL
HYUNDAI I30 SE GD2 MY14 FWD,HYUNDAI,I30,"194,908",HATCHBACK,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2987172/2014-hyundai-i30-se-gd2-my14?filterid=2442542442,"2014 HYUNDAI I30 SE GD2 MY14 FWD HYUNDAI 194,908",0,QLD,2014,PETROL
VOLKSWAGEN GOLF 118TSI COMFORTLINE VI MY11 FWD,VOLKSWAGEN,GOLF,"242,215",HATCHBACK,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2985625/2011-volkswagen-golf-118tsi-comfortline-vi-my11?filterid=2442542442,"2011 VOLKSWAGEN GOLF 118TSI COMFORTLINE VI MY11 FWD VOLKSWAGEN 242,215",0,QLD,2011,PETROL
MAZDA 6 LUXURY SPORTS GH1052 MY10 FWD,MAZDA,6,"140,716",HATCHBACK,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2978061/2010-mazda-6-luxury-sports-gh1052-my10?filterid=2442542442,"2010 MAZDA 6 LUXURY SPORTS GH1052 MY10 FWD MAZDA 140,716",0,QLD,2010,PETROL
VOLKSWAGEN GOLF 90TSI VII FWD,VOLKSWAGEN,GOLF,"134,491",HATCHBACK,AUTOMATIC,Carlins,https://www.carlins.com.au/auctions/catalogues/2979136/2013-volkswagen-golf-90tsi-vii?filterid=2442542442,"2013 VOLKSWAGEN GOLF 90TSI VII FWD VOLKSWAGEN 134,491",0,QLD,2013,PETROL
